year,locality,axis_label,fig_title,fig_order,start_zero,value
1963,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,8.575
1963,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,7.753333333333333
1964,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.131250000000001
1964,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,10.646666666666667
1965,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.201666666666666
1965,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,9.01388888888889
1966,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,10.893333333333334
1966,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.42
1967,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,12.226666666666667
1967,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,7.86
1968,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,15.343333333333334
1968,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,8.053333333333335
1969,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.483333333333334
1969,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.753333333333334
1970,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.563333333333334
1970,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.966666666666667
1971,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.046666666666665
1971,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,7.3533333333333335
1972,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,15.196666666666667
1972,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.756666666666667
1973,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.719696969696969
1973,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.911363636363636
1974,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.35909090909091
1974,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,7.263636363636364
1975,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,15.51969696969697
1975,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.976515151515152
1976,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.731060606060606
1976,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.947727272727272
1977,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.210606060606061
1977,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.8568181818181815
1978,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.22063492063492
1978,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,5.943650793650794
1979,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.161904761904761
1979,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.272222222222222
1980,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7894809428326744
1980,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.7287201772798446
1980,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2596343756028534
1980,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,24.22022043756139
1980,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,178.96939855417375
1980,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,5.76413474955527
1980,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,15.217460317460318
1980,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.6756512181273059
1980,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.28586971787471566
1980,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2270552976395956
1980,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,15.379238182823919
1980,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,5.646031746031746
1980,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,44.634287232405626
1980,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.317797018461018
1981,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.9164742331378155
1981,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.7524871235648679
1981,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.3661675686908703
1981,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,28.93259619046574
1981,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,330.8767021323532
1981,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,7.133883850764019
1981,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,13.93859649122807
1981,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7728138758643465
1981,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.3746193294256769
1981,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,62.48800971422031
1981,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.1820550776342167
1981,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,16.336174814331564
1981,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.080701754385965
1981,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,51.53340388338096
1981,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.372742519377114
1982,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7593362888379256
1982,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.8203080970800829
1982,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.3084830253131718
1982,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,28.629650484302616
1982,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,307.05504074234307
1982,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,7.2168806863550055
1982,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.470289855072464
1982,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7459813170420652
1982,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.5244081897983004
1982,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,50.39941356541992
1982,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.1726434987689405
1982,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,17.55422949359048
1982,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,6.153623188405797
1982,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,63.43242511564612
1982,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.562387553803306
1983,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.8824149108177226
1983,Holmöarna,"Koncentration, µg/g fv muskel",DDD hos abborre,3018,TRUE,0.07341859292305926
1983,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.2528287009438367
1983,Holmöarna,"Koncentration, µg/g fv muskel",DDT hos abborre,3017,TRUE,0.23073765935082377
1983,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2238901522300796
1983,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,19.163705032649737
1983,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,86.13524098423757
1983,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.894727359336121
1983,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.322727272727272
1983,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7459443992236171
1983,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDD hos abborre,3018,TRUE,0.08805126485235074
1983,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.22062322629516903
1983,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,46.77771381269449
1983,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2072854171538023
1983,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,16.879206716756816
1983,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,5.242424242424242
1983,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,58.058532008550806
1983,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.686773290535635
1984,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.8584385072085172
1984,Holmöarna,"Koncentration, µg/g fv muskel",DDD hos abborre,3018,TRUE,0.06
1984,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.13893426204430892
1984,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.1360149589733815
1984,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,18.69775522881647
1984,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,74.25957522149231
1984,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.2750622748563094
1984,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.893650793650794
1984,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7369878167752097
